"seed","ordinal","stage","x","z","legacyFieldsExact"
"8675309","0","continent","-129","-129","True"
"8675309","0","terrain","-129","-129","True"
"8675309","0","hydrology","-129","-129","True"
"8675309","0","legacy_compatibility","-129","-129","True"
"8675309","0","finalized","-129","-129","True"
"8675309","1","continent","-129","0","True"
"8675309","1","terrain","-129","0","True"
"8675309","1","hydrology","-129","0","True"
"8675309","1","legacy_compatibility","-129","0","True"
"8675309","1","finalized","-129","0","True"
"8675309","2","continent","0","-129","True"
"8675309","2","terrain","0","-129","True"
"8675309","2","hydrology","0","-129","True"
"8675309","2","legacy_compatibility","0","-129","True"
"8675309","2","finalized","0","-129","True"
"8675309","3","continent","-128","-128","True"
"8675309","3","terrain","-128","-128","True"
"8675309","3","hydrology","-128","-128","True"
"8675309","3","legacy_compatibility","-128","-128","True"
"8675309","3","finalized","-128","-128","True"
"8675309","4","continent","-128","0","True"
"8675309","4","terrain","-128","0","True"
"8675309","4","hydrology","-128","0","True"
"8675309","4","legacy_compatibility","-128","0","True"
"8675309","4","finalized","-128","0","True"
"8675309","5","continent","0","-128","True"
"8675309","5","terrain","0","-128","True"
"8675309","5","hydrology","0","-128","True"
"8675309","5","legacy_compatibility","0","-128","True"
"8675309","5","finalized","0","-128","True"
"8675309","6","continent","-127","-127","True"
"8675309","6","terrain","-127","-127","True"
"8675309","6","hydrology","-127","-127","True"
"8675309","6","legacy_compatibility","-127","-127","True"
"8675309","6","finalized","-127","-127","True"
"8675309","7","continent","-127","0","True"
"8675309","7","terrain","-127","0","True"
"8675309","7","hydrology","-127","0","True"
"8675309","7","legacy_compatibility","-127","0","True"
"8675309","7","finalized","-127","0","True"
"8675309","8","continent","0","-127","True"
"8675309","8","terrain","0","-127","True"
"8675309","8","hydrology","0","-127","True"
"8675309","8","legacy_compatibility","0","-127","True"
"8675309","8","finalized","0","-127","True"
"8675309","9","continent","-17","-17","True"
"8675309","9","terrain","-17","-17","True"
"8675309","9","hydrology","-17","-17","True"
"8675309","9","legacy_compatibility","-17","-17","True"
"8675309","9","finalized","-17","-17","True"
"8675309","10","continent","-17","0","True"
"8675309","10","terrain","-17","0","True"
"8675309","10","hydrology","-17","0","True"
"8675309","10","legacy_compatibility","-17","0","True"
"8675309","10","finalized","-17","0","True"
"8675309","11","continent","0","-17","True"
"8675309","11","terrain","0","-17","True"
"8675309","11","hydrology","0","-17","True"
"8675309","11","legacy_compatibility","0","-17","True"
"8675309","11","finalized","0","-17","True"
"8675309","12","continent","-16","-16","True"
"8675309","12","terrain","-16","-16","True"
"8675309","12","hydrology","-16","-16","True"
"8675309","12","legacy_compatibility","-16","-16","True"
"8675309","12","finalized","-16","-16","True"
"8675309","13","continent","-16","0","True"
"8675309","13","terrain","-16","0","True"
"8675309","13","hydrology","-16","0","True"
"8675309","13","legacy_compatibility","-16","0","True"
"8675309","13","finalized","-16","0","True"
"8675309","14","continent","0","-16","True"
"8675309","14","terrain","0","-16","True"
"8675309","14","hydrology","0","-16","True"
"8675309","14","legacy_compatibility","0","-16","True"
"8675309","14","finalized","0","-16","True"
"8675309","15","continent","-15","-15","True"
"8675309","15","terrain","-15","-15","True"
"8675309","15","hydrology","-15","-15","True"
"8675309","15","legacy_compatibility","-15","-15","True"
"8675309","15","finalized","-15","-15","True"
"8675309","16","continent","-15","0","True"
"8675309","16","terrain","-15","0","True"
"8675309","16","hydrology","-15","0","True"
"8675309","16","legacy_compatibility","-15","0","True"
"8675309","16","finalized","-15","0","True"
"8675309","17","continent","0","-15","True"
"8675309","17","terrain","0","-15","True"
"8675309","17","hydrology","0","-15","True"
