z,latitudeDegrees,temperatureC
-2000000,-85.71428571428571,-14.895023577060327
-1900000,-85.5,-14.688805427923922
-1800000,-85.26315789473684,-14.434209997167926
-1700000,-85.0,-14.340296035325128
-1600000,-84.70588235294117,-14.095874906655599
-1500000,-84.375,-13.932132486246026
-1400000,-84.0,-13.95417661935545
-1300000,-83.57142857142857,-13.67301138230377
-1200000,-83.07692307692308,-13.143367215650294
-1100000,-82.5,-12.943157622903868
-1000000,-81.81818181818181,-12.521866441253803
-900000,-81.0,-12.058674146100438
-800000,-80.0,-11.752249780550361
-700000,-78.75,-10.843258988101356
-600000,-77.14285714285714,-10.079390848557756
-500000,-75.0,-9.146091336481792
-400000,-72.0,-7.547107335222618
-300000,-67.5,-5.268698800334023
-200000,-60.0,-1.4524995140670103
-100000,-45.0,6.068493020945089
0,0.0,24.989342416907334
100000,45.0,5.953933021579299
200000,60.0,-1.4426040265584719
300000,67.5,-5.235720750997828
400000,72.0,-7.391694412865912
500000,75.0,-9.215827227276778
600000,77.14285714285714,-10.348223879741113
700000,78.75,-11.071256457693027
800000,80.0,-11.867387741156586
900000,81.0,-12.054500198177859
1000000,81.81818181818181,-12.484978847623191
1100000,82.5,-12.836285250695855
1200000,83.07692307692308,-13.16125089934136
1300000,83.57142857142857,-13.497806580430153
1400000,84.0,-13.785368684476293
1500000,84.375,-14.129590402128088
1600000,84.70588235294117,-13.992957261988984
1700000,85.0,-14.129021199092728
1800000,85.26315789473684,-14.643285152650403
1900000,85.5,-14.64681491856967
2000000,85.71428571428571,-14.840813325197843
