seed,biome,count
8675309,minecraft:birch_forest,1
8675309,minecraft:deep_lukewarm_ocean,41
8675309,minecraft:deep_ocean,104
8675309,minecraft:forest,41
8675309,minecraft:lukewarm_ocean,3
8675309,minecraft:ocean,4
8675309,minecraft:plains,95
4303642605,minecraft:birch_forest,2
4303642605,minecraft:deep_lukewarm_ocean,38
4303642605,minecraft:deep_ocean,107
4303642605,minecraft:forest,38
4303642605,minecraft:lukewarm_ocean,4
4303642605,minecraft:ocean,4
4303642605,minecraft:plains,96
42,minecraft:birch_forest,2
42,minecraft:deep_lukewarm_ocean,39
42,minecraft:deep_ocean,106
42,minecraft:forest,48
42,minecraft:lukewarm_ocean,1
42,minecraft:ocean,3
42,minecraft:plains,90
-987654321,minecraft:birch_forest,1
-987654321,minecraft:dark_forest,1
-987654321,minecraft:deep_lukewarm_ocean,40
-987654321,minecraft:deep_ocean,105
-987654321,minecraft:forest,45
-987654321,minecraft:lukewarm_ocean,4
-987654321,minecraft:ocean,5
-987654321,minecraft:plains,88
0,minecraft:deep_lukewarm_ocean,39
0,minecraft:deep_ocean,106
0,minecraft:forest,45
0,minecraft:lukewarm_ocean,5
0,minecraft:ocean,6
0,minecraft:plains,88
9223372036854775807,minecraft:birch_forest,3
9223372036854775807,minecraft:deep_lukewarm_ocean,39
9223372036854775807,minecraft:deep_ocean,106
9223372036854775807,minecraft:forest,47
9223372036854775807,minecraft:lukewarm_ocean,1
9223372036854775807,minecraft:ocean,3
9223372036854775807,minecraft:plains,90
-9223372036854775807,minecraft:birch_forest,2
-9223372036854775807,minecraft:deep_lukewarm_ocean,38
-9223372036854775807,minecraft:deep_ocean,107
-9223372036854775807,minecraft:forest,40
-9223372036854775807,minecraft:lukewarm_ocean,3
-9223372036854775807,minecraft:ocean,5
-9223372036854775807,minecraft:plains,94
-1,minecraft:birch_forest,1
-1,minecraft:dark_forest,1
-1,minecraft:deep_lukewarm_ocean,38
-1,minecraft:deep_ocean,107
-1,minecraft:forest,42
-1,minecraft:lukewarm_ocean,6
-1,minecraft:ocean,5
-1,minecraft:plains,89
1,minecraft:birch_forest,1
1,minecraft:deep_lukewarm_ocean,42
1,minecraft:deep_ocean,103
1,minecraft:forest,45
1,minecraft:lukewarm_ocean,7
1,minecraft:ocean,4
1,minecraft:plains,87
12345,minecraft:birch_forest,1
12345,minecraft:deep_lukewarm_ocean,39
12345,minecraft:deep_ocean,106
12345,minecraft:forest,44
12345,minecraft:lukewarm_ocean,5
12345,minecraft:ocean,5
12345,minecraft:plains,89
67890,minecraft:deep_lukewarm_ocean,37
67890,minecraft:deep_ocean,108
67890,minecraft:forest,46
67890,minecraft:lukewarm_ocean,5
67890,minecraft:ocean,3
67890,minecraft:plains,89
67890,minecraft:savanna,1
314159,minecraft:birch_forest,2
314159,minecraft:deep_lukewarm_ocean,37
314159,minecraft:deep_ocean,108
314159,minecraft:forest,40
314159,minecraft:lukewarm_ocean,6
314159,minecraft:ocean,3
314159,minecraft:plains,93
271828,minecraft:birch_forest,2
271828,minecraft:deep_lukewarm_ocean,37
271828,minecraft:deep_ocean,108
271828,minecraft:forest,43
271828,minecraft:lukewarm_ocean,4
271828,minecraft:ocean,3
271828,minecraft:plains,92
20260908,minecraft:birch_forest,2
20260908,minecraft:deep_lukewarm_ocean,38
20260908,minecraft:deep_ocean,107
20260908,minecraft:forest,44
20260908,minecraft:lukewarm_ocean,4
20260908,minecraft:ocean,7
20260908,minecraft:plains,86
20260908,minecraft:savanna,1
-424242,minecraft:birch_forest,3
-424242,minecraft:deep_lukewarm_ocean,38
-424242,minecraft:deep_ocean,107
-424242,minecraft:forest,42
-424242,minecraft:lukewarm_ocean,6
-424242,minecraft:ocean,2
-424242,minecraft:plains,91
987654321012345,minecraft:birch_forest,3
987654321012345,minecraft:deep_lukewarm_ocean,38
987654321012345,minecraft:deep_ocean,107
987654321012345,minecraft:forest,49
987654321012345,minecraft:lukewarm_ocean,3
987654321012345,minecraft:ocean,5
987654321012345,minecraft:plains,84
