step,temperatureC,rainfallMm,evaporationMm,ratio,elevationBlocks,landform,winner,score,margin
0,22.0,2500.0,952.0,2.6260504201680672,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
1,22.0,2475.5,952.0,2.60031512605042,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
2,22.0,2451.0,952.0,2.5745798319327733,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
3,22.0,2426.5,952.0,2.548844537815126,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
4,22.0,2402.0,952.0,2.523109243697479,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
5,22.0,2377.5,952.0,2.4973739495798317,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
6,22.0,2353.0,952.0,2.471638655462185,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
7,22.0,2328.5,952.0,2.445903361344538,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
8,22.0,2304.0,952.0,2.4201680672268906,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
9,22.0,2279.5,952.0,2.394432773109244,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.011075274622794451
10,22.0,2255.0,952.0,2.3686974789915967,100.0,PLAINS,minecraft:bamboo_jungle,0.7437295581055942,0.006363769766050242
11,22.0,2230.5,952.0,2.3429621848739495,100.0,PLAINS,minecraft:sparse_jungle,0.7547324488156573,0.011002890710063107
12,22.0,2206.0,952.0,2.3172268907563027,100.0,PLAINS,minecraft:sparse_jungle,0.7720991092917706,0.003246430658184307
13,22.0,2181.5,952.0,2.2914915966386555,100.0,PLAINS,minecraft:sparse_jungle,0.7894657697678839,0.0066774978492110115
14,22.0,2157.0,952.0,2.2657563025210083,100.0,PLAINS,minecraft:sparse_jungle,0.8068324302439972,0.02404415832532436
15,22.0,2132.5,952.0,2.240021008403361,100.0,PLAINS,minecraft:sparse_jungle,0.8241990907201105,0.04141081880143771
16,22.0,2108.0,952.0,2.2142857142857144,100.0,PLAINS,minecraft:sparse_jungle,0.8415657511962238,0.05877747927755095
17,22.0,2083.5,952.0,2.1885504201680672,100.0,PLAINS,minecraft:sparse_jungle,0.8589324116723371,0.0761441397536643
18,22.0,2059.0,952.0,2.16281512605042,100.0,PLAINS,minecraft:sparse_jungle,0.8762990721484505,0.09351080022977765
19,22.0,2034.5,952.0,2.1370798319327733,100.0,PLAINS,minecraft:sparse_jungle,0.8936657326245638,0.110877460705891
20,22.0,2010.0,952.0,2.111344537815126,100.0,PLAINS,minecraft:sparse_jungle,0.9110323931006771,0.12824412118200423
21,22.0,1985.5,952.0,2.085609243697479,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.1353325540293976
22,22.0,1961.0,952.0,2.0598739495798317,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.1353325540293976
23,22.0,1936.5,952.0,2.034138655462185,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.1353325540293976
24,22.0,1912.0,952.0,2.008403361344538,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.1293781189290052
25,22.0,1887.5,952.0,1.9826680672268908,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.12250814835313717
26,22.0,1863.0,952.0,1.9569327731092436,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.11563817777726926
27,22.0,1838.5,952.0,1.9311974789915967,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.10876820720140112
28,22.0,1814.0,952.0,1.9054621848739495,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.10189823662553321
29,22.0,1789.5,952.0,1.8797268907563025,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.09502826604966519
30,22.0,1765.0,952.0,1.8539915966386555,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.08815829547379728
31,22.0,1740.5,952.0,1.8282563025210083,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.08128832489792925
32,22.0,1716.0,952.0,1.8025210084033614,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.07441835432206123
33,22.0,1691.5,952.0,1.7767857142857142,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.06754838374619332
34,22.0,1667.0,952.0,1.7510504201680672,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.060678413170325296
35,22.0,1642.5,952.0,1.7253151260504203,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.05380844259445727
36,22.0,1618.0,952.0,1.699579831932773,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04693847201858936
37,22.0,1593.5,952.0,1.673844537815126,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
38,22.0,1569.0,952.0,1.648109243697479,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
39,22.0,1544.5,952.0,1.622373949579832,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
40,22.0,1520.0,952.0,1.596638655462185,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
41,22.0,1495.5,952.0,1.5709033613445378,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
42,22.0,1471.0,952.0,1.5451680672268908,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
43,22.0,1446.5,952.0,1.5194327731092436,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
44,22.0,1422.0,952.0,1.4936974789915967,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
45,22.0,1397.5,952.0,1.4679621848739495,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
46,22.0,1373.0,952.0,1.4422268907563025,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
47,22.0,1348.5,952.0,1.4164915966386555,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
48,22.0,1324.0,952.0,1.3907563025210083,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
49,22.0,1299.5,952.0,1.3650210084033614,100.0,PLAINS,minecraft:sparse_jungle,0.9181208259480704,0.04189114669754346
50,22.0,1275.0,952.0,1.3392857142857142,100.0,PLAINS,minecraft:sparse_jungle,0.9125973717812703,0.036367692530743345
51,22.0,1250.5,952.0,1.3135504201680672,100.0,PLAINS,minecraft:sparse_jungle,0.899330251478663,0.023100572228135996
52,22.0,1226.0,952.0,1.2878151260504203,100.0,PLAINS,minecraft:sparse_jungle,0.8860631311760555,0.009833451925528536
53,22.0,1201.5,952.0,1.262079831932773,100.0,PLAINS,minecraft:forest,0.876229679250527,0.0034336683770791465
54,22.0,1177.0,952.0,1.236344537815126,100.0,PLAINS,minecraft:forest,0.876229679250527,0.033004184228691114
55,22.0,1152.5,952.0,1.210609243697479,100.0,PLAINS,minecraft:forest,0.876229679250527,0.06363796500741203
56,22.0,1128.0,952.0,1.184873949579832,100.0,PLAINS,minecraft:forest,0.876229679250527,0.09427174578613284
57,22.0,1103.5,952.0,1.159138655462185,100.0,PLAINS,minecraft:forest,0.876229679250527,0.12490552656485376
58,22.0,1079.0,952.0,1.1334033613445378,100.0,PLAINS,minecraft:forest,0.876229679250527,0.15553930734357468
59,22.0,1054.5,952.0,1.1076680672268908,100.0,PLAINS,minecraft:forest,0.876229679250527,0.15636665503854352
60,22.0,1030.0,952.0,1.0819327731092436,100.0,PLAINS,minecraft:forest,0.876229679250527,0.140320591578311
61,22.0,1005.5,952.0,1.0561974789915967,100.0,PLAINS,minecraft:forest,0.876229679250527,0.12427452811807849
62,22.0,981.0,952.0,1.0304621848739495,100.0,PLAINS,minecraft:forest,0.876229679250527,0.10822846465784619
63,22.0,956.5,952.0,1.0047268907563025,100.0,PLAINS,minecraft:forest,0.876229679250527,0.09218240119761367
64,22.0,932.0,952.0,0.9789915966386554,100.0,PLAINS,minecraft:forest,0.876229679250527,0.07613633773738127
