step,temperatureC,rainfallMm,evaporationMm,ratio,elevationBlocks,landform,winner,score,margin
0,35.0,900.0,1186.0,0.7588532883642496,100.0,PLAINS,minecraft:savanna,0.8395445234713106,1.0
1,34.35,900.0,1174.3000000000002,0.7664140338925316,100.0,PLAINS,minecraft:savanna,0.8395445234713106,1.0
2,33.7,900.0,1162.6,0.7741269568209187,100.0,PLAINS,minecraft:savanna,0.8395445234713106,1.0
3,33.05,900.0,1150.9,0.7819966982361629,100.0,PLAINS,minecraft:savanna,0.8395445234713106,1.0
4,32.4,900.0,1139.1999999999998,0.7900280898876406,100.0,PLAINS,minecraft:savanna,0.8395445234713106,1.0
5,31.75,900.0,1127.5,0.7982261640798226,100.0,PLAINS,minecraft:savanna,0.8395445234713106,0.31762995702768504
6,31.1,900.0,1115.8000000000002,0.8065961641871302,100.0,PLAINS,minecraft:savanna,0.8358624154849145,0.28651785636969773
7,30.45,900.0,1104.1,0.8151435558373337,100.0,PLAINS,minecraft:savanna,0.8310910941282574,0.2543165423414494
8,29.8,900.0,1092.4,0.8238740388136213,100.0,PLAINS,minecraft:savanna,0.8262175676088895,0.22201302315049032
9,29.15,900.0,1080.6999999999998,0.8327935597298048,100.0,PLAINS,minecraft:savanna,0.8212385164105604,0.18960397928056982
10,28.5,900.0,1069.0,0.8419083255378859,100.0,PLAINS,minecraft:savanna,0.8161504756911453,0.15708594588956348
11,27.85,900.0,1057.3,0.8512248179324695,100.0,PLAINS,minecraft:savanna,0.8109498272418199,0.12481375541442985
12,27.2,900.0,1045.6,0.8607498087222648,100.0,PLAINS,minecraft:savanna,0.8056327909063866,0.09485427467002394
13,26.549999999999997,900.0,1033.9,0.8704903762452848,100.0,PLAINS,minecraft:savanna,0.8001954154179898,0.06483754465498837
14,25.9,900.0,1022.2,0.8804539229113676,100.0,PLAINS,minecraft:savanna,0.7946335686065362,0.03476159956087199
15,25.25,900.0,1010.5,0.8906481939633845,100.0,PLAINS,minecraft:savanna,0.788942926925822,0.00462438253534847
16,24.6,900.0,998.8,0.9010812975570686,100.0,PLAINS,minecraft:plains,0.8086952238948277,0.025576259650249455
17,23.95,900.0,987.0999999999999,0.9117617262688685,100.0,PLAINS,minecraft:plains,0.8308895227167166,0.049511790400809996
18,23.299999999999997,900.0,975.4,0.9226983801517327,100.0,PLAINS,minecraft:plains,0.8276888424008153,0.014693794440035268
19,22.65,900.0,963.7,0.9339005914703745,100.0,PLAINS,minecraft:forest,0.8446123636056536,0.0202019185689829
20,22.0,900.0,952.0,0.9453781512605042,100.0,PLAINS,minecraft:forest,0.876229679250527,0.05517821403422052
21,21.35,900.0,940.3,0.9571413378708923,100.0,PLAINS,minecraft:forest,0.9078469948954004,0.09023809997887589
22,20.7,900.0,928.5999999999999,0.9692009476631489,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.110792128805141
23,20.049999999999997,900.0,916.9,0.9815683280619479,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.11441152020452705
24,19.4,900.0,905.2,0.9942554131683605,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.11812447519068459
25,18.75,900.0,893.5,1.0072747621712368,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.12193466928895857
26,18.099999999999998,900.0,881.8,1.0206396008165117,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.12584597309680345
27,17.45,900.0,870.0999999999999,1.0343638662222734,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.12986246539919333
28,16.8,900.0,858.4000000000001,1.048462255358807,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.13398844735661108
29,16.15,900.0,846.7,1.0629502775481279,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.13735111660735022
30,15.5,900.0,835.0,1.0778443113772456,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.1276917453493237
31,14.849999999999998,900.0,823.3,1.0931616664642294,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.12142964857761174
32,14.2,900.0,811.6,1.1089206505667817,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.12142964857761174
33,13.55,900.0,799.9,1.1251406425803225,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.09193781008461444
34,12.899999999999999,900.0,788.2,1.1418421720375538,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.05529070867013608
35,12.25,900.0,776.5,1.1590470057952351,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.018643607255658057
36,11.599999999999998,900.0,764.8,1.1767782426778244,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
37,10.95,900.0,753.1,1.195060416943301,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
38,10.3,900.0,741.4,1.2139196115457243,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
39,9.649999999999999,900.0,729.7,1.2333835822940933,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
40,9.0,900.0,718.0,1.2534818941504178,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
41,8.349999999999998,900.0,706.3,1.2742460710746142,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
42,7.699999999999999,900.0,694.6,1.2957097610135329,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.01247614017407317
43,7.050000000000001,900.0,682.9,1.3179089178503443,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
44,6.399999999999999,900.0,671.1999999999999,1.3408820023837904,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
45,5.75,900.0,659.5,1.3646702047005308,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
46,5.099999999999998,900.0,647.8,1.389317690645261,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
47,4.449999999999999,900.0,636.1,1.4148718754912748,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
48,3.799999999999997,900.0,624.4,1.4413837283792441,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
49,3.1499999999999986,900.0,612.6999999999999,1.4689081116370166,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
50,2.5,900.0,601.0,1.497504159733777,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
51,1.8500000000000014,900.0,589.3000000000001,1.5272357033768877,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
52,1.1999999999999957,900.0,577.5999999999999,1.558171745152355,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
53,0.5499999999999972,900.0,565.9,1.590386994168581,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9203231350694736,0.016953530679051587
54,-0.10000000000000142,900.0,554.1999999999999,1.623962468422952,100.0,PLAINS,minecraft:old_growth_pine_taiga,0.9146851194672461,0.011315515076824045
55,-0.75,900.0,542.5,1.6589861751152073,100.0,PLAINS,minecraft:old_growth_spruce_taiga,0.903369604390422,0.025331586337653977
56,-1.3999999999999986,900.0,530.8,1.6955538809344388,100.0,PLAINS,minecraft:old_growth_spruce_taiga,0.903369604390422,0.05970513883759476
57,-2.0500000000000043,900.0,519.0999999999999,1.7337699865151226,100.0,PLAINS,minecraft:old_growth_spruce_taiga,0.903369604390422,0.05179726637480919
58,-2.700000000000003,900.0,507.4,1.7737485218762319,100.0,PLAINS,minecraft:old_growth_spruce_taiga,0.8767636163750585,0.01691871489226693
59,-3.3500000000000014,900.0,495.7,1.8156142828323583,100.0,PLAINS,minecraft:taiga,0.8513904678042352,0.013057723006923982
60,-4.0,900.0,484.0,1.859504132231405,100.0,PLAINS,minecraft:taiga,0.8286827161333902,0.010343996748315987
61,-4.649999999999999,900.0,472.3,1.9055684946008893,100.0,PLAINS,minecraft:snowy_taiga,0.8252577333814269,0.01883280754846961
62,-5.300000000000004,900.0,466.0,1.9313304721030042,100.0,PLAINS,minecraft:snowy_taiga,0.8291272644840422,0.05305770031113266
63,-5.950000000000003,900.0,466.0,1.9313304721030042,100.0,PLAINS,minecraft:snowy_taiga,0.8291272644840422,0.08484736459931042
64,-6.600000000000001,900.0,466.0,1.9313304721030042,100.0,PLAINS,minecraft:snowy_taiga,0.8291272644840422,0.11663702888748817
65,-7.25,900.0,466.0,1.9313304721030042,100.0,PLAINS,minecraft:snowy_taiga,0.8291272644840422,0.1484266931756656
66,-7.899999999999999,900.0,466.0,1.9313304721030042,100.0,PLAINS,minecraft:snowy_taiga,0.8291272644840422,0.18021635746384335
