step,temperatureC,rainfallMm,evaporationMm,ratio,elevationBlocks,landform,winner,score,margin
0,11.358131054752459,900.0,760.4463589855443,1.183515430596083,0.0,PLAINS,minecraft:forest,0.9013080930439055,0.00585855621955278
1,11.228131054752458,900.0,758.1063589855443,1.1871685144605961,20.0,PLAINS,minecraft:forest,0.9060208150990371,0.0055965586256602196
2,11.098131054752459,900.0,755.7663589855442,1.1908442196448896,40.0,PLAINS,minecraft:forest,0.9107335371541685,0.0053345610317674375
3,10.968131054752458,900.0,753.4263589855443,1.1945427569216063,60.0,PLAINS,minecraft:forest,0.9154462592093001,0.005072563437874877
4,10.83813105475246,900.0,751.0863589855443,1.1982643396900272,80.0,PLAINS,minecraft:forest,0.9201589812644316,0.004810565843982206
5,10.708131054752458,900.0,748.7463589855442,1.2020091840171152,100.0,PLAINS,minecraft:forest,0.9248717033195631,0.004548568250089535
6,10.57813105475246,900.0,746.4063589855443,1.205777508679331,120.0,PLAINS,minecraft:forest,0.9295844253746947,0.004286570656196864
7,10.448131054752459,900.0,744.0663589855442,1.20956953520524,140.0,PLAINS,minecraft:forest,0.9342971474298263,0.004024573062304304
8,10.318131054752458,900.0,741.7263589855443,1.2133854879189219,160.0,PLAINS,minecraft:forest,0.9390098694849577,0.003762575468411522
9,10.188131054752459,900.0,739.3863589855442,1.217225593984208,180.0,PLAINS,minecraft:forest,0.9437225915400893,0.003500577874518962
10,10.058131054752458,900.0,737.0463589855442,1.22109008344976,200.0,PLAINS,minecraft:forest,0.9484353135952208,0.003238580280626291
11,9.928131054752459,900.0,734.7063589855443,1.224979189295009,220.0,PLAINS,minecraft:forest,0.9531480356503523,0.00297658268673362
12,9.798131054752458,900.0,732.3663589855443,1.2288931474769782,240.0,PLAINS,minecraft:forest,0.957860757705484,0.0027145850928410598
13,9.66813105475246,900.0,730.0263589855442,1.2328321969780018,260.0,PLAINS,minecraft:forest,0.9625734797606154,0.0024525874989483887
14,9.538131054752458,900.0,727.6863589855443,1.2367965798543694,280.0,PLAINS,minecraft:forest,0.967286201815747,0.0021905899050558286
15,9.40813105475246,900.0,725.3463589855443,1.2407865412859078,300.0,PLAINS,minecraft:forest,0.9719989238708784,0.0019285923111630465
16,9.278131054752459,900.0,723.0063589855442,1.244802329626529,320.0,HILLS,minecraft:forest,0.97671164592601,0.0016665947172703754
17,9.14813105475246,900.0,720.6663589855443,1.2488441964557595,340.0,HILLS,minecraft:forest,0.9814243679811416,0.0014045971233779264
18,9.018131054752459,900.0,718.3263589855443,1.2529123966312807,360.0,HILLS,minecraft:forest,0.986137090036273,0.0011425995294851443
19,8.888131054752458,900.0,715.9863589855443,1.257007188342496,380.0,HILLS,minecraft:forest,0.9908498120914045,8.806019355924732E-4
20,8.75813105475246,900.0,713.6463589855442,1.261128833165154,400.0,HILLS,minecraft:forest,0.9955625341465361,6.186043416996911E-4
21,8.628131054752458,900.0,711.3063589855442,1.2652775961170488,420.0,HILLS,minecraft:forest,1.0002752562016677,0.005331326396831315
22,8.49813105475246,900.0,708.9663589855443,1.2694537457148243,440.0,HILLS,minecraft:forest,1.0014534367154506,0.006509506910614249
23,8.368131054752459,900.0,706.6263589855442,1.2736575540319062,460.0,HILLS,minecraft:forest,1.0014534367154506,0.006509506910614249
24,8.23813105475246,900.0,704.2863589855442,1.277889296757589,480.0,HILLS,minecraft:forest,1.0014534367154506,0.006509506910614249
25,8.108131054752459,900.0,701.9463589855443,1.2821492532573053,500.0,HILLS,minecraft:forest,1.0014534367154506,0.006509506910614249
26,7.978131054752457,900.0,699.6063589855443,1.286437706634105,520.0,HILLS,minecraft:forest,1.0002123953275057,0.005268465522669352
27,7.848131054752458,900.0,697.2663589855442,1.290754943791371,540.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.002108908127800957
28,7.718131054752459,900.0,694.9263589855443,1.2951012554968024,560.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
29,7.588131054752458,900.0,692.5863589855443,1.299476936447697,580.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
30,7.4581310547524575,900.0,690.2463589855442,1.3038822853375582,600.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
31,7.3281310547524585,900.0,687.9063589855442,1.3083176049240632,620.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
32,7.198131054752458,900.0,685.5663589855442,1.3127832020984236,640.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
33,7.068131054752457,900.0,683.2263589855443,1.3172793879561697,660.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
34,6.938131054752458,900.0,680.8863589855442,1.321806477869397,680.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
35,6.808131054752459,900.0,678.5463589855442,1.3263647915605037,700.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
36,6.678131054752458,900.0,676.2063589855443,1.3309546531774628,720.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
37,6.548131054752457,900.0,673.8663589855443,1.3355763913706615,740.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
38,6.418131054752458,900.0,671.5263589855442,1.3402303393713457,760.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
39,6.288131054752459,900.0,669.1863589855443,1.344916835071711,780.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
40,6.158131054752457,900.0,666.8463589855443,1.3496362211066821,800.0,HILLS,minecraft:old_growth_pine_taiga,0.9949439298048364,0.008096412347043946
41,6.028131054752458,900.0,664.5063589855442,1.3543888449374173,820.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
42,5.898131054752459,900.0,662.1663589855443,1.3591750589365834,840.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
43,5.768131054752458,900.0,659.8263589855443,1.3639952204754486,860.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
44,5.638131054752457,900.0,657.4863589855443,1.3688496920128312,880.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
45,5.508131054752458,900.0,655.1463589855442,1.3737388411859561,900.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
46,5.378131054752459,900.0,652.8063589855443,1.3786630409032665,920.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
47,5.2481310547524584,900.0,650.4663589855443,1.3836226694392373,940.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
48,5.118131054752458,900.0,648.1263589855442,1.388618110531242,960.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
49,4.988131054752459,900.0,645.7863589855442,1.3936497534785282,980.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
50,4.858131054752458,900.0,643.4463589855443,1.398717993243349,1000.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
51,4.728131054752459,900.0,641.1063589855443,1.4038232305543132,1020.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
52,4.598131054752458,900.0,638.7663589855442,1.4089658720120037,1040.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
53,4.468131054752459,900.0,636.4263589855443,1.4141463301969277,1060.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
54,4.338131054752458,900.0,634.0863589855443,1.419365023779857,1080.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
55,4.208131054752459,900.0,631.7463589855442,1.4246223776346196,1100.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
56,4.0781310547524585,900.0,629.4063589855442,1.4299188229534088,1120.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
57,3.94813105475246,900.0,627.0663589855443,1.4352547973646719,1140.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
58,3.8181310547524587,900.0,624.7263589855443,1.4406307450536522,1160.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
59,3.688131054752459,900.0,622.3863589855442,1.4460471168856446,1180.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
60,3.558131054752459,900.0,620.0463589855442,1.451504370532047,1200.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
61,3.428131054752459,900.0,617.7063589855443,1.4570029705992746,1220.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
62,3.2981310547524583,900.0,615.3663589855443,1.4625433887606165,1240.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
63,3.1681310547524593,900.0,613.0263589855442,1.46812610389111,1260.0,MOUNTAIN,minecraft:stony_peaks,1.0,1.0
